Roll Number,3rd August,4th August,5th August,6th August,7th August,8th August,9th August
IM26022,1,0,0,0,0,0,0
IM26023,1,0,0,0,0,0,0
IM26024,1,0,0,0,0,0,0
IM26025,0,0,0,0,0,0,0
IM26026,1,0,0,0,0,0,0
IM26027,0,0,0,0,0,0,0
IM26028,1,0,0,0,0,0,0
IM26029,0,0,0,0,0,0,0
IM26030,1,0,0,0,0,0,0
IM26031,0,0,0,0,0,0,0
IM26032,0,0,0,0,0,0,0
IM26033,1,0,0,0,0,0,0
IM26034,0,0,0,0,0,0,0
IM26035,0,0,0,0,0,0,0
IM26036,1,0,0,0,0,0,0
IM26037,0,0,0,0,0,0,0
IM26038,0,0,0,0,0,0,0
IM26039,0,0,0,0,0,0,0
IM26040,1,0,0,0,0,0,0
IM26041,0,0,0,0,0,0,0
IM26042,0,0,0,0,0,0,0
IM26043,0,0,0,0,0,0,0
IM26044,0,0,0,0,0,0,0
IM26045,0,0,0,0,0,0,0
IM26046,0,0,0,0,0,0,0
IM26047,0,0,0,0,0,0,0
IM26048,0,0,0,0,0,0,0
IM26049,0,0,0,0,0,0,0
IM26050,0,0,0,0,0,0,0
IM26051,0,0,0,0,0,0,0
IM26052,0,0,0,0,0,0,0
IM26053,0,0,0,0,0,0,0
IM26054,0,0,0,0,0,0,0
IM26055,0,0,0,0,0,0,0
IM26056,0,0,0,0,0,0,0
IM26057,0,0,0,0,0,0,0
IM26058,0,0,0,0,0,0,0
IM26059,1,0,0,0,0,0,0
IM26060,0,0,0,0,0,0,0
IM26061,0,0,0,0,0,0,0
IM26062,0,0,0,0,0,0,0
IM26063,0,0,0,0,0,0,0
IM26064,0,0,0,0,0,0,0
IM26065,0,0,0,0,0,0,0
IM26066,0,1,0,0,0,0,0
IM26067,1,0,0,0,0,0,0
IM26068,0,0,0,0,0,0,0
IM26069,0,0,0,0,0,0,0
IM26070,1,0,0,0,0,0,0
IM26071,1,0,0,0,0,0,0
IM26072,0,0,0,0,0,0,0
IM26073,0,0,0,0,0,0,0
IM26074,0,0,0,0,0,0,0
IM26075,0,0,0,0,0,0,0
IM26076,0,0,0,0,0,0,0
IM26077,0,0,0,0,0,0,0
IM26078,1,0,0,0,0,0,0
IM26079,0,0,0,0,0,0,0
IM26080,0,0,0,0,0,0,0
